Voter ID,Party,Sex,Age,Ethnicity,Voter Score,Turnout Score,PartisanshipScore,Kids in HH,Liberal Ideology, marriage,Zip,Outcome
8709138,1,0,24,3,94.87,79,99,13,74,5,85210,0
8714234,3,1,32,2,60.82,29,54,6,50,4,85210,1
8761628,1,1,24,2,90.87,82,97,0,83,5,85202,0
8571685,3,1,42,2,56.74,36,65,65,33,74,85202,1
8573044,2,0,71,3,8.59,99,1,4,16,46,85213,0
8573511,3,1,27,2,76.12,85,9,1,45,38,85234,0
8601714,1,1,56,3,95.34,98,94,14,57,24,85210,0
8601757,2,1,47,3,8.75,61,1,78,7,73,85234,0
8601949,1,1,39,3,91.87,26,95,32,47,18,85203,0
8601990,2,1,26,2,22.67,15,5,1,22,1,85234,0
8602414,1,1,27,3,94.99,97,96,0,86,6,85202,0
8602595,3,1,31,3,15.19,76,65,1,61,2,85202,1
8602783,3,1,35,2,64.38,59,95,16,75,31,85202,0
8603727,3,0,25,2,71.75,37,81,3,55,1,85204,0
8603743,3,1,67,2,31.88,99,9,1,40,12,85204,0
8603805,1,1,28,2,90.21,89,96,1,89,5,85202,0
8604252,3,0,24,2,90.2,20,83,6,63,2,85210,0
8604363,1,0,25,2,92.42,40,98,1,86,1,85204,0
8605272,3,1,42,2,89.22,74,94,37,70,37,85202,0
8605522,1,0,53,2,91.18,62,95,73,46,39,85201,0
8605559,2,1,59,3,5.74,98,0,64,16,93,85204,0
8605589,2,1,38,3,37.55,29,2,46,10,62,85210,0
8605609,3,0,43,3,39.87,64,50,89,54,96,85204,1
8606313,2,0,25,3,17.49,28,99,5,79,1,85203,0
8606600,2,1,56,3,11.12,49,5,23,16,55,85204,0
8606755,2,0,50,3,6.04,98,1,71,15,97,85210,0
8607121,3,0,36,3,43.42,77,86,25,76,15,85213,0
8607275,1,0,32,3,96.12,75,97,55,75,13,85202,0
8607403,3,0,24,2,68.73,24,93,4,50,2,85204,0
8607826,1,0,32,3,91.02,79,97,8,71,19,85201,0
8607926,1,0,26,3,88.88,62,98,3,73,5,85210,0
8608173,3,1,36,3,30.74,83,31,10,50,19,85204,0
8608216,1,0,35,3,91.15,95,95,47,64,22,85204,0
8608449,3,0,71,3,57.43,33,8,5,43,90,85213,0
8608456,3,1,33,3,37.39,6,51,12,45,5,85204,1
8608884,3,1,51,3,66.99,63,41,55,39,63,85204,1
8616343,1,0,24,2,93.64,42,49,12,32,1,85210,1
8616724,3,0,38,3,45.72,23,71,44,42,37,85201,0
8616879,2,1,26,2,17.85,44,3,3,16,4,85204,0
8617013,3,0,56,3,89.92,97,44,41,54,98,85213,1
8617024,3,1,24,2,56.19,38,20,1,32,0,85204,0
8617100,3,0,26,2,84.0,45,98,9,56,10,85210,0
8617257,2,0,37,3,77.98,82,1,41,13,92,85202,0
8617644,3,1,27,2,88.57,67,96,1,77,1,85224,0
8617669,3,1,45,2,56.0,59,15,41,24,57,85203,0
8617900,2,0,37,2,24.44,71,98,29,64,20,85203,0
8617918,2,0,72,2,35.33,98,5,15,9,52,85210,0
8618224,3,1,37,3,13.79,5,4,57,7,95,85213,0
8618592,1,0,29,3,93.39,85,97,4,79,2,85210,0
8619204,1,0,26,3,90.25,27,98,1,85,1,85204,0
8619251,2,0,34,3,20.76,80,20,28,20,21,85203,0
8619622,1,0,26,3,86.5,31,96,10,80,1,85213,0
8619742,1,1,40,2,83.69,69,97,57,70,72,85210,0
8620051,3,1,31,3,78.94,41,57,1,77,0,85202,1
8620890,1,0,24,3,78.14,58,98,3,90,6,85202,0
8621327,3,1,24,3,82.27,81,93,3,85,2,85210,0
8621585,3,0,44,3,49.01,56,80,53,58,32,85210,0
8622649,3,0,33,2,85.69,92,82,27,72,37,85202,0
8623022,3,1,24,2,65.54,38,87,5,20,1,85204,0
8784540,3,0,25,3,25.11,13,89,2,30,3,85202,0
8784623,1,1,37,2,86.28,47,95,29,68,58,85224,0
8784652,1,1,23,3,94.29,89,96,2,69,7,85202,0
8784796,1,1,25,3,94.75,91,96,0,87,3,85282,0
8784854,1,0,28,2,87.99,47,79,13,61,8,85210,0
8784900,1,1,23,3,85.76,29,96,9,49,3,85210,0
8784948,1,1,33,3,88.18,94,61,3,54,10,85224,1
8784982,2,1,61,3,36.25,23,61,16,27,47,85224,1
8785159,1,0,24,3,93.55,28,96,28,58,2,85210,0
8785171,1,1,26,2,91.61,28,97,2,81,2,85210,0
8785327,2,1,53,3,11.24,39,2,33,26,38,85224,0
8785412,2,0,23,2,32.02,43,24,10,18,5,85210,0
8785433,1,0,26,2,95.24,90,97,3,70,1,85202,0
8785633,1,1,24,3,88.0,56,70,1,73,1,85202,0
8786060,1,0,28,3,96.43,91,98,13,57,4,85202,0
8786587,2,0,63,3,9.47,95,4,9,15,42,85202,0
8723907,3,1,39,3,10.31,82,6,23,10,92,85210,0
8724198,2,1,65,3,5.63,74,5,16,10,34,85210,0
8724556,3,0,33,3,37.57,12,28,39,27,53,85204,0
8724635,2,0,27,3,13.68,49,10,1,16,1,85202,0
8724816,2,0,29,2,21.09,40,31,9,21,1,85204,0
8727520,2,1,59,3,6.26,95,2,34,9,61,85234,0
8727628,3,1,49,3,31.94,39,43,58,36,63,85233,1
8728660,3,1,30,3,28.48,53,2,24,12,9,85203,0
8728879,2,0,39,3,6.72,63,3,85,8,84,85204,0
8729109,3,0,34,3,67.12,41,83,11,71,27,85234,0
8729274,2,0,55,3,9.44,46,1,43,17,90,85204,0
8729402,2,0,71,3,17.43,29,7,7,28,58,85210,0
8778709,3,0,27,3,16.51,36,69,4,54,3,85210,0
