Voter ID,Age,2020 marriage,Zip,Outcome,Swing Voter,Party_1,Party_2,Party_3,Sex_0,Sex_1,Ethnicity_2,Ethnicity_3
8709138,1,5,85210,0,Low_Chance,1,0,0,1,0,0,1
8714234,2,4,85210,1,High_Chance,0,0,1,0,1,1,0
8761628,1,5,85202,0,Low_Chance,1,0,0,0,1,1,0
8571685,3,74,85202,1,High_Chance,0,0,1,0,1,1,0
8573044,6,46,85213,0,Low_Chance,0,1,0,1,0,0,1
8573511,2,38,85234,0,Low_Chance,0,0,1,0,1,1,0
8601714,5,24,85210,0,Low_Chance,1,0,0,0,1,0,1
8601757,4,73,85234,0,Low_Chance,0,1,0,0,1,0,1
8601949,3,18,85203,0,Low_Chance,1,0,0,0,1,0,1
8601990,2,1,85234,0,Low_Chance,0,1,0,0,1,1,0
8602414,2,6,85202,0,Low_Chance,1,0,0,0,1,0,1
8602595,2,2,85202,1,Low_Chance,0,0,1,0,1,0,1
8602783,3,31,85202,0,High_Chance,0,0,1,0,1,1,0
8603727,2,1,85204,0,Low_Chance,0,0,1,1,0,1,0
8603743,6,12,85204,0,Low_Chance,0,0,1,0,1,1,0
8603805,2,5,85202,0,Low_Chance,1,0,0,0,1,1,0
8604252,1,2,85210,0,Low_Chance,0,0,1,1,0,1,0
8604363,2,1,85204,0,Low_Chance,1,0,0,1,0,1,0
8605272,3,37,85202,0,Low_Chance,0,0,1,0,1,1,0
8605522,4,39,85201,0,Low_Chance,1,0,0,1,0,1,0
8605559,5,93,85204,0,Low_Chance,0,1,0,0,1,0,1
8605589,3,62,85210,0,High_Chance,0,1,0,0,1,0,1
8605609,3,96,85204,1,High_Chance,0,0,1,1,0,0,1
8606313,2,1,85203,0,Low_Chance,0,1,0,1,0,0,1
8606600,5,55,85204,0,Low_Chance,0,1,0,0,1,0,1
8606755,4,97,85210,0,Low_Chance,0,1,0,1,0,0,1
8607121,3,15,85213,0,High_Chance,0,0,1,1,0,0,1
8607275,2,13,85202,0,Low_Chance,1,0,0,1,0,0,1
8607403,1,2,85204,0,Low_Chance,0,0,1,1,0,1,0
8607826,2,19,85201,0,Low_Chance,1,0,0,1,0,0,1
8607926,2,5,85210,0,Low_Chance,1,0,0,1,0,0,1
8608173,3,19,85204,0,Low_Chance,0,0,1,0,1,0,1
8608216,3,22,85204,0,Low_Chance,1,0,0,1,0,0,1
8608449,6,90,85213,0,High_Chance,0,0,1,1,0,0,1
8608456,2,5,85204,1,High_Chance,0,0,1,0,1,0,1
